======================================================================
EXPERIMENT CONFIGURATION
======================================================================
USE_CUTOUT = False
CUTOUT_SIZE = 8
USE_SILU = True
WARMUP_FRACTION = 0.23
======================================================================
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      6  |      1.0625  |     0.9033  |   0.8602  |               |              2.5427  |
|          |      7  |      1.0332  |     0.9277  |   0.9044  |               |              2.8916  |
|          |      8  |      0.9785  |     0.9521  |   0.9228  |               |              3.2414  |
|          |      9  |      0.9404  |     0.9834  |   0.9335  |               |              3.5634  |
|          |   eval  |      0.9404  |     0.9834  |   0.9335  |       0.9398  |              3.7159  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4404  |     0.7119  |   0.6451  |               |              0.3879  |
|          |      1  |      1.2754  |     0.8174  |   0.7626  |               |              0.7684  |
|          |      2  |      1.2178  |     0.8379  |   0.7873  |               |              1.1479  |
|          |      3  |      1.1836  |     0.8486  |   0.8102  |               |              1.4989  |
|          |      4  |      1.1289  |     0.8711  |   0.8377  |               |              1.8481  |
|          |      5  |      1.0928  |     0.8984  |   0.8751  |               |              2.1974  |
|          |      6  |      1.0488  |     0.9219  |   0.8898  |               |              2.5471  |
|          |      7  |      1.0293  |     0.9287  |   0.8891  |               |              2.8965  |
|          |      8  |      0.9658  |     0.9697  |   0.9269  |               |              3.2462  |
|          |      9  |      0.9385  |     0.9834  |   0.9329  |               |              3.5674  |
|          |   eval  |      0.9385  |     0.9834  |   0.9329  |       0.9392  |              3.7200  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4805  |     0.6855  |   0.6873  |               |              0.4744  |
|          |      1  |      1.2803  |     0.7910  |   0.7517  |               |              0.8551  |
|          |      2  |      1.1924  |     0.8467  |   0.8072  |               |              1.2343  |
|          |      3  |      1.1719  |     0.8613  |   0.7728  |               |              1.5838  |
|          |      4  |      1.1279  |     0.8838  |   0.8664  |               |              1.9342  |
|          |      5  |      1.0967  |     0.8828  |   0.8638  |               |              2.2825  |
|          |      6  |      1.0459  |     0.9150  |   0.8867  |               |              2.6318  |
|          |      7  |      1.0400  |     0.9199  |   0.8977  |               |              2.9811  |
|          |      8  |      0.9712  |     0.9600  |   0.9274  |               |              3.3306  |
|          |      9  |      0.9502  |     0.9746  |   0.9318  |               |              3.6528  |
|          |   eval  |      0.9502  |     0.9746  |   0.9318  |       0.9397  |              3.8058  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4590  |     0.6904  |   0.5460  |               |              0.4780  |
|          |      1  |      1.2676  |     0.8086  |   0.7054  |               |              0.8587  |
|          |      2  |      1.2354  |     0.8193  |   0.4125  |               |              1.2388  |
|          |      3  |      1.1846  |     0.8486  |   0.8156  |               |              1.5881  |
|          |      4  |      1.1191  |     0.8828  |   0.8520  |               |              1.9372  |
|          |      5  |      1.1016  |     0.8818  |   0.8619  |               |              2.2865  |
|          |      6  |      1.0459  |     0.9180  |   0.8908  |               |              2.6357  |
|          |      7  |      1.0283  |     0.9219  |   0.8985  |               |              2.9854  |
|          |      8  |      0.9780  |     0.9570  |   0.9260  |               |              3.3354  |
|          |      9  |      0.9497  |     0.9697  |   0.9344  |               |              3.6562  |
|          |   eval  |      0.9497  |     0.9697  |   0.9344  |       0.9423  |              3.8090  |
------------------------------------------------------------------------------------------------------
Mean: 0.9398    Std: 0.0012
/workspace/ese5060/ese-3060-project/logs/9c567161-75a8-4695-a7d8-f8af755e435c/log.pt
